RUN	gatling_viade_es1c.seefriends1user	seefriends1user	1588334383095	 	3.3.1
REQUEST	40		request_2	1588334395441	1588334395485	OK	 
REQUEST	35		request_5	1588334395492	1588334395494	OK	 
REQUEST	35		request_6	1588334395495	1588334395497	OK	 
REQUEST	35		request_7	1588334395495	1588334395611	OK	 
REQUEST	41		request_1	1588334395629	1588334395632	OK	 
REQUEST	41		request_3	1588334395634	1588334395641	OK	 
REQUEST	41		request_4	1588334395635	1588334395641	OK	 
REQUEST	18		request_11	1588334394786	1588334395659	OK	 
REQUEST	41		request_2	1588334395633	1588334395680	OK	 
REQUEST	36		request_5	1588334395723	1588334395726	OK	 
REQUEST	36		request_6	1588334395727	1588334395729	OK	 
REQUEST	22		request_9	1588334395404	1588334395769	OK	 
REQUEST	15		request_11	1588334395103	1588334395786	OK	 
REQUEST	17		request_11	1588334395103	1588334395787	OK	 
REQUEST	19		request_10	1588334395016	1588334395791	OK	 
REQUEST	19		request_11	1588334395016	1588334395801	OK	 
REQUEST	20		request_10	1588334395122	1588334395804	OK	 
REQUEST	36		request_7	1588334395726	1588334395840	OK	 
REQUEST	42		request_1	1588334395842	1588334395845	OK	 
REQUEST	42		request_4	1588334395846	1588334395853	OK	 
REQUEST	42		request_3	1588334395846	1588334395854	OK	 
REQUEST	42		request_2	1588334395845	1588334395895	OK	 
REQUEST	37		request_5	1588334395894	1588334395896	OK	 
REQUEST	37		request_6	1588334395897	1588334395899	OK	 
REQUEST	23		request_8	1588334395219	1588334396002	OK	 
REQUEST	16		request_11	1588334395309	1588334396002	OK	 
REQUEST	37		request_7	1588334395897	1588334396019	OK	 
REQUEST	20		request_11	1588334395123	1588334396037	OK	 
REQUEST	43		request_1	1588334396041	1588334396045	OK	 
REQUEST	43		request_3	1588334396045	1588334396054	OK	 
REQUEST	43		request_4	1588334396046	1588334396055	OK	 
REQUEST	23		request_9	1588334396003	1588334396085	OK	 
REQUEST	43		request_2	1588334396045	1588334396089	OK	 
REQUEST	38		request_5	1588334396089	1588334396090	OK	 
REQUEST	38		request_6	1588334396091	1588334396093	OK	 
REQUEST	18		request_11	1588334395660	1588334396193	OK	 
