RUN	gatling_viade_es1c.sharefriend1user	sharefriend1user	1588333568474	 	3.3.1
REQUEST	17		request_15	1588333594334	1588333594352	OK	 
REQUEST	4		request_21	1588333594343	1588333594353	OK	 
REQUEST	17		request_14	1588333594334	1588333594353	OK	 
REQUEST	16		request_12 Redirect 2	1588333593920	1588333594398	OK	 
REQUEST	16		request_16	1588333594400	1588333594423	OK	 
REQUEST	16		request_15	1588333594400	1588333594426	OK	 
REQUEST	16		request_17	1588333594401	1588333594427	OK	 
REQUEST	16		request_18	1588333594401	1588333594428	OK	 
REQUEST	16		request_13	1588333594399	1588333594428	OK	 
REQUEST	16		request_14	1588333594400	1588333594428	OK	 
REQUEST	9		request_19	1588333590440	1588333594520	OK	 
REQUEST	20		request_12 Redirect 2	1588333594327	1588333594589	OK	 
REQUEST	18		request_12 Redirect 1	1588333593392	1588333594610	OK	 
REQUEST	20		request_15	1588333594591	1588333594613	OK	 
REQUEST	20		request_16	1588333594591	1588333594617	OK	 
REQUEST	20		request_18	1588333594592	1588333594619	OK	 
REQUEST	20		request_13	1588333594590	1588333594620	OK	 
REQUEST	20		request_17	1588333594592	1588333594620	OK	 
REQUEST	20		request_14	1588333594591	1588333594621	OK	 
REQUEST	18		request_12 Redirect 2	1588333594611	1588333594883	OK	 
REQUEST	18		request_15	1588333594885	1588333594910	OK	 
REQUEST	18		request_16	1588333594886	1588333594914	OK	 
REQUEST	18		request_13	1588333594884	1588333594919	OK	 
REQUEST	18		request_14	1588333594885	1588333594919	OK	 
