RUN	gatling_viade_es1c.visualize1user	visualize1user	1588332311617	 	3.3.1
REQUEST	6		request_20	1588332323220	1588332323246	OK	 
REQUEST	17		request_1	1588332323248	1588332323252	OK	 
REQUEST	17		request_2	1588332323253	1588332323261	OK	 
REQUEST	17		request_4	1588332323256	1588332323263	OK	 
REQUEST	17		request_3	1588332323255	1588332323265	OK	 
REQUEST	15		request_5	1588332323290	1588332323292	OK	 
REQUEST	15		request_6	1588332323293	1588332323294	OK	 
REQUEST	6		request_9	1588332323210	1588332323352	OK	 
REQUEST	11		request_7	1588332323290	1588332323390	OK	 
REQUEST	5		request_14	1588332323183	1588332323422	OK	 
REQUEST	3		request_14	1588332323213	1588332323437	OK	 
REQUEST	6		request_10	1588332323210	1588332323440	OK	 
REQUEST	6		request_12	1588332323212	1588332323443	OK	 
REQUEST	6		request_11	1588332323212	1588332323586	OK	 
REQUEST	6		request_12	1588332323444	1588332323606	OK	 
REQUEST	6		request_14	1588332323214	1588332323616	OK	 
REQUEST	5		request_14	1588332323423	1588332323654	OK	 
REQUEST	18		request_1	1588332323754	1588332323759	OK	 
REQUEST	18		request_2	1588332323760	1588332323763	OK	 
REQUEST	18		request_4	1588332323761	1588332323767	OK	 
REQUEST	18		request_3	1588332323760	1588332323769	OK	 
REQUEST	7		request_8	1588332323421	1588332323774	OK	 
REQUEST	16		request_5	1588332323779	1588332323784	OK	 
REQUEST	7		request_13	1588332323776	1588332323788	OK	 
REQUEST	7		request_15	1588332323777	1588332323789	OK	 
REQUEST	16		request_6	1588332323785	1588332323794	OK	 
REQUEST	7		request_18	1588332323779	1588332323811	OK	 
REQUEST	7		request_16	1588332323778	1588332323812	OK	 
REQUEST	7		request_17	1588332323778	1588332323813	OK	 
REQUEST	7		request_19	1588332323780	1588332323814	OK	 
REQUEST	6		request_21	1588332323215	1588332323814	OK	 
REQUEST	7		request_20	1588332323789	1588332323818	OK	 
REQUEST	7		request_9	1588332323780	1588332323820	OK	 
REQUEST	4		request_14	1588332322615	1588332323849	OK	 
REQUEST	12		request_7	1588332323769	1588332323872	OK	 
REQUEST	7		request_11	1588332323782	1588332323950	OK	 
REQUEST	7		request_10	1588332323781	1588332323955	OK	 
REQUEST	4		request_14	1588332323850	1588332323955	OK	 
REQUEST	7		request_12	1588332323783	1588332323985	OK	 
REQUEST	7		request_14	1588332323783	1588332324170	OK	 
REQUEST	17		request_5	1588332324268	1588332324274	OK	 
REQUEST	17		request_6	1588332324275	1588332324278	OK	 
REQUEST	19		request_1	1588332324268	1588332324278	OK	 
REQUEST	7		request_12	1588332323985	1588332324279	OK	 
REQUEST	19		request_2	1588332324279	1588332324287	OK	 
REQUEST	19		request_4	1588332324280	1588332324295	OK	 
REQUEST	19		request_3	1588332324280	1588332324297	OK	 
REQUEST	8		request_8	1588332323922	1588332324308	OK	 
REQUEST	7		request_21	1588332323784	1588332324316	OK	 
REQUEST	8		request_13	1588332324310	1588332324318	OK	 
REQUEST	8		request_15	1588332324310	1588332324322	OK	 
REQUEST	8		request_16	1588332324310	1588332324331	OK	 
REQUEST	8		request_17	1588332324311	1588332324333	OK	 
REQUEST	8		request_20	1588332324320	1588332324334	OK	 
REQUEST	8		request_19	1588332324313	1588332324337	OK	 
REQUEST	8		request_18	1588332324312	1588332324339	OK	 
REQUEST	8		request_9	1588332324313	1588332324355	OK	 
REQUEST	13		request_7	1588332324268	1588332324374	OK	 
REQUEST	5		request_21	1588332322802	1588332324404	OK	 
REQUEST	8		request_11	1588332324314	1588332324482	OK	 
REQUEST	8		request_12	1588332324315	1588332324486	OK	 
REQUEST	8		request_10	1588332324314	1588332324515	OK	 
REQUEST	20		request_1	1588332324738	1588332324742	OK	 
REQUEST	20		request_2	1588332324743	1588332324746	OK	 
REQUEST	20		request_4	1588332324744	1588332324749	OK	 
REQUEST	20		request_3	1588332324744	1588332324757	OK	 
REQUEST	18		request_5	1588332324768	1588332324776	OK	 
REQUEST	18		request_6	1588332324777	1588332324779	OK	 
REQUEST	8		request_14	1588332324315	1588332324823	OK	 
REQUEST	8		request_12	1588332324487	1588332324825	OK	 
REQUEST	9		request_8	1588332324419	1588332324826	OK	 
REQUEST	9		request_15	1588332324827	1588332324835	OK	 
REQUEST	9		request_13	1588332324827	1588332324837	OK	 
REQUEST	9		request_17	1588332324828	1588332324847	OK	 
REQUEST	6		request_14	1588332323617	1588332324854	OK	 
REQUEST	9		request_18	1588332324829	1588332324859	OK	 
REQUEST	9		request_16	1588332324828	1588332324860	OK	 
REQUEST	9		request_19	1588332324830	1588332324860	OK	 
REQUEST	9		request_20	1588332324837	1588332324861	OK	 
REQUEST	9		request_9	1588332324830	1588332324889	OK	 
REQUEST	14		request_7	1588332324779	1588332324900	OK	 
REQUEST	8		request_14	1588332324824	1588332324925	OK	 
REQUEST	6		request_14	1588332324855	1588332324944	OK	 
REQUEST	9		request_12	1588332324832	1588332324999	OK	 
REQUEST	9		request_10	1588332324831	1588332325006	OK	 
REQUEST	8		request_14	1588332324926	1588332325021	OK	 
REQUEST	9		request_11	1588332324832	1588332325040	OK	 
REQUEST	10		request_8	1588332324900	1588332325297	OK	 
REQUEST	10		request_13	1588332325299	1588332325317	OK	 
REQUEST	10		request_15	1588332325299	1588332325319	OK	 
REQUEST	9		request_14	1588332324832	1588332325326	OK	 
REQUEST	19		request_5	1588332325301	1588332325343	OK	 
REQUEST	10		request_17	1588332325300	1588332325344	OK	 
REQUEST	10		request_16	1588332325300	1588332325345	OK	 
REQUEST	10		request_19	1588332325304	1588332325346	OK	 
REQUEST	9		request_12	1588332325000	1588332325347	OK	 
REQUEST	10		request_9	1588332325306	1588332325347	OK	 
REQUEST	19		request_6	1588332325344	1588332325364	OK	 
REQUEST	10		request_18	1588332325301	1588332325365	OK	 
REQUEST	10		request_20	1588332325318	1588332325368	OK	 
REQUEST	7		request_14	1588332324172	1588332325380	OK	 
REQUEST	15		request_7	1588332325289	1588332325392	OK	 
REQUEST	9		request_14	1588332325327	1588332325425	OK	 
REQUEST	7		request_14	1588332325381	1588332325473	OK	 
REQUEST	10		request_11	1588332325308	1588332325490	OK	 
REQUEST	10		request_12	1588332325309	1588332325492	OK	 
REQUEST	10		request_10	1588332325307	1588332325499	OK	 
REQUEST	9		request_14	1588332325426	1588332325522	OK	 
REQUEST	10		request_14	1588332325309	1588332325705	OK	 
REQUEST	20		request_5	1588332325759	1588332325761	OK	 
REQUEST	20		request_6	1588332325762	1588332325764	OK	 
REQUEST	11		request_8	1588332325388	1588332325792	OK	 
REQUEST	11		request_13	1588332325794	1588332325802	OK	 
REQUEST	11		request_15	1588332325794	1588332325807	OK	 
REQUEST	10		request_12	1588332325492	1588332325809	OK	 
REQUEST	11		request_17	1588332325796	1588332325817	OK	 
REQUEST	11		request_16	1588332325795	1588332325818	OK	 
REQUEST	11		request_18	1588332325796	1588332325822	OK	 
REQUEST	11		request_19	1588332325797	1588332325823	OK	 
REQUEST	11		request_20	1588332325803	1588332325824	OK	 
REQUEST	11		request_9	1588332325797	1588332325837	OK	 
REQUEST	8		request_21	1588332324316	1588332325848	OK	 
REQUEST	10		request_14	1588332325706	1588332325863	OK	 
REQUEST	16		request_7	1588332325803	1588332325924	OK	 
REQUEST	10		request_14	1588332325864	1588332325952	OK	 
REQUEST	11		request_11	1588332325798	1588332325967	OK	 
REQUEST	11		request_10	1588332325798	1588332325971	OK	 
REQUEST	11		request_12	1588332325799	1588332325984	OK	 
REQUEST	11		request_14	1588332325799	1588332326206	OK	 
REQUEST	12		request_8	1588332325872	1588332326313	OK	 
REQUEST	11		request_12	1588332325984	1588332326325	OK	 
REQUEST	12		request_13	1588332326315	1588332326326	OK	 
REQUEST	12		request_15	1588332326315	1588332326328	OK	 
REQUEST	12		request_17	1588332326317	1588332326338	OK	 
REQUEST	12		request_20	1588332326327	1588332326339	OK	 
REQUEST	12		request_16	1588332326316	1588332326342	OK	 
REQUEST	12		request_18	1588332326317	1588332326343	OK	 
REQUEST	12		request_19	1588332326318	1588332326345	OK	 
REQUEST	12		request_9	1588332326320	1588332326358	OK	 
REQUEST	9		request_21	1588332324833	1588332326365	OK	 
REQUEST	11		request_14	1588332326206	1588332326404	OK	 
REQUEST	17		request_7	1588332326281	1588332326423	OK	 
REQUEST	12		request_10	1588332326320	1588332326485	OK	 
REQUEST	11		request_14	1588332326405	1588332326522	OK	 
REQUEST	12		request_12	1588332326322	1588332326640	OK	 
REQUEST	12		request_11	1588332326321	1588332326643	OK	 
REQUEST	12		request_14	1588332326322	1588332326678	OK	 
REQUEST	13		request_8	1588332326391	1588332326685	OK	 
REQUEST	13		request_15	1588332326688	1588332326698	OK	 
REQUEST	13		request_13	1588332326687	1588332326699	OK	 
REQUEST	13		request_16	1588332326688	1588332326704	OK	 
REQUEST	13		request_17	1588332326688	1588332326707	OK	 
REQUEST	13		request_18	1588332326689	1588332326714	OK	 
REQUEST	13		request_19	1588332326689	1588332326715	OK	 
REQUEST	13		request_20	1588332326698	1588332326716	OK	 
REQUEST	13		request_9	1588332326690	1588332326828	OK	 
REQUEST	12		request_12	1588332326641	1588332326850	OK	 
REQUEST	18		request_7	1588332326781	1588332326871	OK	 
REQUEST	10		request_21	1588332325310	1588332326889	OK	 
REQUEST	12		request_14	1588332326679	1588332326906	OK	 
REQUEST	13		request_10	1588332326690	1588332326911	OK	 
REQUEST	13		request_11	1588332326691	1588332326915	OK	 
REQUEST	13		request_12	1588332326691	1588332327066	OK	 
REQUEST	13		request_14	1588332326692	1588332327090	OK	 
REQUEST	12		request_14	1588332326907	1588332327110	OK	 
REQUEST	14		request_8	1588332326911	1588332327273	OK	 
REQUEST	14		request_15	1588332327274	1588332327282	OK	 
REQUEST	14		request_13	1588332327274	1588332327283	OK	 
REQUEST	14		request_19	1588332327276	1588332327292	OK	 
REQUEST	14		request_16	1588332327275	1588332327293	OK	 
REQUEST	14		request_18	1588332327276	1588332327293	OK	 
REQUEST	14		request_17	1588332327275	1588332327294	OK	 
REQUEST	14		request_20	1588332327283	1588332327294	OK	 
